"","FighterId.x","Event.x","Result.x","Opponent.x","Round.x","Time.x","Method.x","DateEvent.x","Outcome.x","PreviousOutcome.x","start.x","streak_id.x","streak.x","StreakLength.x","WinRatio.x","CountFights.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishedPrevious.x","FinishedCount.x","FinishCount.x","DamageDiff.x","Fighter.x","OpponentId.x","FighterComposite","OpponentComposite","FighterId.y","Event.y","Result.y","Opponent.y","Round.y","Time.y","Method.y","DateEvent.y","Outcome.y","PreviousOutcome.y","start.y","streak_id.y","streak.y","StreakLength.y","WinRatio.y","CountFights.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishedPrevious.y","FinishedCount.y","FinishCount.y","DamageDiff.y","Fighter.y","OpponentId.y","FighterComposite.y","IdKey"
"11",10,"UFC Fight Night 183 - Thompson vs. Neal","loss","Jose Aldo",3,"5:00","Decision (Unanimous)",2020-12-19,0,1,TRUE,12,1,1,0.695652173913043,23,0.608695652173913,TRUE,0.0434782608695652,FALSE,1,14,7,"Marlon Vera",114,"10_Jose Aldo_2020-12-19","114_Marlon Vera_2020-12-19",114,"UFC Fight Night 183 - Thompson vs. Neal","win","Marlon Vera",3,"5:00","Decision (Unanimous)",2020-12-19,1,0,TRUE,9,1,-3,0.8,35,0.514285714285714,FALSE,0.142857142857143,TRUE,5,18,3,"Jose Aldo",10,"114_Marlon Vera_2020-12-19",124
"12",102,"Cage Rage 16 - Critical Condition","win","Hiroyuki Abe",3,"5:00","Decision (Unanimous)",2006-04-22,1,1,FALSE,3,5,4,0.833333333333333,6,0.666666666666667,FALSE,0.166666666666667,FALSE,1,4,2,"Brad Pickett",128,"102_Hiroyuki Abe_2006-04-22","128_Brad Pickett_2006-04-22",128,"Cage Rage 16 - Critical Condition","loss","Brad Pickett",3,"5:00","Decision (Unanimous)",2006-04-22,0,0,FALSE,10,2,-1,0.352941176470588,17,0.235294117647059,FALSE,0.588235294117647,FALSE,10,4,0.363636363636364,"Hiroyuki Abe",102,"128_Brad Pickett_2006-04-22",230
"13",102,"WEC 50 - Cruz vs. Benavidez 2","loss","Scott Jorgensen",3,"5:00","Decision (Unanimous)",2010-08-18,0,1,TRUE,8,1,9,0.826086956521739,23,0.652173913043478,FALSE,0.130434782608696,FALSE,3,15,3.75,"Brad Pickett",109,"102_Scott Jorgensen_2010-08-18","109_Brad Pickett_2010-08-18",109,"WEC 50 - Cruz vs. Benavidez 2","win","Brad Pickett",3,"5:00","Decision (Unanimous)",2010-08-18,1,1,FALSE,7,5,4,0.769230769230769,13,0.384615384615385,FALSE,0.0769230769230769,FALSE,1,5,2.5,"Scott Jorgensen",102,"109_Brad Pickett_2010-08-18",211
"14",102,"WEC 53 - Henderson vs. Pettis","win","Ivan Menjivar",3,"5:00","Decision (Unanimous)",2010-12-16,1,0,TRUE,9,1,-1,0.791666666666667,24,0.625,FALSE,0.125,FALSE,3,15,3.75,"Brad Pickett",110,"102_Ivan Menjivar_2010-12-16","110_Brad Pickett_2010-12-16",110,"WEC 53 - Henderson vs. Pettis","loss","Brad Pickett",3,"5:00","Decision (Unanimous)",2010-12-16,0,1,TRUE,14,1,1,0.75,28,0.571428571428571,TRUE,0.107142857142857,FALSE,3,16,4,"Ivan Menjivar",102,"110_Brad Pickett_2010-12-16",212
"15",102,"UFC 138 - Leben vs. Munoz","loss","Renan Barao",1,"4:09","Submission (Rear-Naked Choke)",2011-11-05,0,1,TRUE,10,1,1,0.8,25,0.6,FALSE,0.12,FALSE,3,15,3.75,"Brad Pickett",8,"102_Renan Barao_2011-11-05","8_Brad Pickett_2011-11-05",8,"UFC 138 - Leben vs. Munoz","win","Brad Pickett",1,"4:09","Submission (Rear-Naked Choke)",2011-11-05,1,1,FALSE,4,17,16,0.928571428571429,28,0.642857142857143,FALSE,0.0357142857142857,FALSE,1,18,9,"Renan Barao",102,"8_Brad Pickett_2011-11-05",110
"16",102,"UFC 155 - Dos Santos vs. Velasquez 2","loss","Eddie Wineland",3,"5:00","Decision (Split)",2012-12-29,0,1,TRUE,12,1,2,0.785714285714286,28,0.607142857142857,TRUE,0.142857142857143,FALSE,4,17,3.4,"Brad Pickett",112,"102_Eddie Wineland_2012-12-29","112_Brad Pickett_2012-12-29",112,"UFC 155 - Dos Santos vs. Velasquez 2","win","Brad Pickett",3,"5:00","Decision (Split)",2012-12-29,1,1,FALSE,11,2,1,0.678571428571429,28,0.571428571428571,TRUE,0.214285714285714,FALSE,6,16,2.28571428571429,"Eddie Wineland",102,"112_Brad Pickett_2012-12-29",214
"17",102,"UFC Fight Night 26 - Shogun vs. Sonnen","loss","Michael McDonald",2,"3:43","Submission (Triangle Choke)",2013-08-17,0,1,TRUE,14,1,1,0.766666666666667,30,0.566666666666667,FALSE,0.133333333333333,FALSE,4,17,3.4,"Brad Pickett",108,"102_Michael McDonald_2013-08-17","108_Brad Pickett_2013-08-17",108,"UFC Fight Night 26 - Shogun vs. Sonnen","win","Brad Pickett",2,"3:43","Submission (Triangle Choke)",2013-08-17,1,0,TRUE,5,1,-1,0.882352941176471,17,0.764705882352941,FALSE,0.117647058823529,TRUE,2,13,4.33333333333333,"Michael McDonald",102,"108_Brad Pickett_2013-08-17",210
"18",102,"UFC Fight Night 84 - Silva vs. Bisping","win","Francisco Rivera",3,"5:00","Decision (Split)",2016-02-27,1,0,TRUE,17,1,-3,0.685714285714286,35,0.485714285714286,FALSE,0.171428571428571,TRUE,6,17,2.42857142857143,"Brad Pickett",106,"102_Francisco Rivera_2016-02-27","106_Brad Pickett_2016-02-27",106,"UFC Fight Night 84 - Silva vs. Bisping","loss","Brad Pickett",3,"5:00","Decision (Split)",2016-02-27,0,0,FALSE,8,2,-1,0.647058823529412,17,0.470588235294118,FALSE,0.294117647058824,TRUE,5,8,1.33333333333333,"Francisco Rivera",102,"106_Brad Pickett_2016-02-27",208
"19",102,"UFC 204 - Bisping vs. Henderson 2","loss","Iuri Alcantara",1,"1:59","Submission (Triangle Choke)",2016-10-08,0,1,TRUE,18,1,1,0.694444444444444,36,0.472222222222222,FALSE,0.166666666666667,FALSE,6,17,2.42857142857143,"Brad Pickett",11,"102_Iuri Alcantara_2016-10-08","11_Brad Pickett_2016-10-08",11,"UFC 204 - Bisping vs. Henderson 2","win","Brad Pickett",1,"1:59","Submission (Triangle Choke)",2016-10-08,1,0,TRUE,15,1,-1,0.8,40,0.625,FALSE,0.075,FALSE,3,25,6.25,"Iuri Alcantara",102,"11_Brad Pickett_2016-10-08",113
"20",104,"UFC Fight Night 61 - Bigfoot vs. Mir","win","Iuri Alcantara",3,"5:00","Decision (Unanimous)",2015-02-22,1,1,FALSE,3,6,5,0.8,10,0.5,FALSE,0.2,FALSE,2,5,1.66666666666667,"Frankie Saenz",11,"104_Iuri Alcantara_2015-02-22","11_Frankie Saenz_2015-02-22",11,"UFC Fight Night 61 - Bigfoot vs. Mir","loss","Frankie Saenz",3,"5:00","Decision (Unanimous)",2015-02-22,0,1,TRUE,12,1,3,0.837837837837838,37,0.675675675675676,FALSE,0.0810810810810811,FALSE,3,25,6.25,"Iuri Alcantara",104,"11_Frankie Saenz_2015-02-22",115
