"","Result.x","Method.x","Fighter.x","Opponent.x","CountFights.x","PreviousOutcome.x","StreakLength.x","WinRatio.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishCount.x","FinishedCount.x","DamageDiff.x","CountFights.y","PreviousOutcome.y","StreakLength.y","WinRatio.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishCount.y","FinishedCount.y","DamageDiff.y","delta_FP","delta_FIP","delta_FC","delta_FIC"
"20","win","Submission (Punches)","Abel Trujillo","Edson Berto",11,1,2,0.636363636363636,0.363636363636364,FALSE,0.272727272727273,4,3,1,26,0,-1,0.615384615384615,0.5,FALSE,0.153846153846154,13,4,2.6,0,0,-9,-1
"21","win","TKO (Knees to the Body)","Abel Trujillo","Marcus LeVesseur",13,1,4,0.692307692307692,0.384615384615385,FALSE,0.230769230769231,5,3,1.25,28,1,1,0.785714285714286,0.607142857142857,FALSE,0.214285714285714,17,6,2.42857142857143,0,0,-12,-3
"22","loss","Decision (Unanimous)","Abel Trujillo","Khabib Nurmagomedov",14,1,5,0.714285714285714,0.428571428571429,TRUE,0.214285714285714,6,3,1.5,19,1,19,1,0.736842105263158,TRUE,0,14,0,14,0,0,-8,3
"23","win","KO (Punch)","Abel Trujillo","Jamie Varner",17,1,1,0.647058823529412,0.411764705882353,TRUE,0.235294117647059,7,4,1.4,32,0,-1,0.65625,0.5625,FALSE,0.21875,18,7,2.25,1,0,-11,-3
"24","loss","Submission (Rear-Naked Choke)","Abel Trujillo","Tony Ferguson",18,1,2,0.666666666666667,0.444444444444444,TRUE,0.222222222222222,8,4,1.6,19,1,3,0.842105263157895,0.684210526315789,FALSE,0.0526315789473684,13,1,6.5,1,0,-5,3
"25","win","Disqualification (Failed Drug Test)","Abel Trujillo","Gleison Tibau",19,0,-1,0.631578947368421,0.421052631578947,FALSE,0.263157894736842,8,5,1.33333333333333,44,0,-1,0.75,0.386363636363636,FALSE,0.113636363636364,17,5,2.83333333333333,0,0,-9,0
"26","win","KO (Knee)","Dan Hooker","Ross Pearson",20,0,-1,0.65,0.6,FALSE,0.1,12,2,4,33,0,-3,0.575757575757576,0.363636363636364,FALSE,0.181818181818182,12,6,1.71428571428571,0,0,0,-4
"27","win","KO (Knee)","Dan Hooker","Jim Miller",22,1,2,0.681818181818182,0.636363636363636,TRUE,0.0909090909090909,14,2,4.66666666666667,40,0,-3,0.7,0.45,FALSE,0.1,18,4,3.6,1,0,-4,-2
"28","loss","KO (Punch to the Body)","Dan Hooker","Edson Barboza",24,1,4,0.708333333333333,0.666666666666667,TRUE,0.0833333333333333,16,2,5.33333333333333,25,0,-2,0.76,0.48,FALSE,0.16,12,4,2.4,1,-1,4,-2
"29","win","Decision (Unanimous)","Dan Hooker","Al Iaquinta",26,1,1,0.692307692307692,0.653846153846154,TRUE,0.115384615384615,17,3,4.25,20,0,-1,0.7,0.4,FALSE,0.2,8,4,1.6,1,0,9,-1
