"","Outcome.x","CountFights.x","PreviousOutcome.x","StreakLength.x","WinRatio.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishCount.x","FinishedCount.x","DamageDiff.x","CountFights.y","PreviousOutcome.y","StreakLength.y","WinRatio.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishCount.y","FinishedCount.y","DamageDiff.y"
"24",0,18,1,2,0.666666666666667,0.444444444444444,TRUE,0.222222222222222,8,4,1.6,19,1,3,0.842105263157895,0.684210526315789,FALSE,0.0526315789473684,13,1,6.5
"25",1,19,0,-1,0.631578947368421,0.421052631578947,FALSE,0.263157894736842,8,5,1.33333333333333,44,0,-1,0.75,0.386363636363636,FALSE,0.113636363636364,17,5,2.83333333333333
"26",0,23,0,-1,0.652173913043478,0.434782608695652,FALSE,0.260869565217391,10,6,1.42857142857143,20,0,-1,0.7,0.45,FALSE,0.15,9,3,2.25
"27",1,20,0,-1,0.65,0.6,FALSE,0.1,12,2,4,33,0,-3,0.575757575757576,0.363636363636364,FALSE,0.181818181818182,12,6,1.71428571428571
"28",1,22,1,2,0.681818181818182,0.636363636363636,TRUE,0.0909090909090909,14,2,4.66666666666667,40,0,-3,0.7,0.45,FALSE,0.1,18,4,3.6
"29",0,24,1,4,0.708333333333333,0.666666666666667,TRUE,0.0833333333333333,16,2,5.33333333333333,25,0,-2,0.76,0.48,FALSE,0.16,12,4,2.4
"30",1,26,1,1,0.692307692307692,0.653846153846154,TRUE,0.115384615384615,17,3,4.25,20,0,-1,0.7,0.4,FALSE,0.2,8,4,1.6
"31",1,27,1,2,0.703703703703704,0.62962962962963,FALSE,0.111111111111111,17,3,4.25,21,1,2,0.80952380952381,0.523809523809524,FALSE,0.0476190476190476,11,1,5.5
"32",0,28,1,3,0.714285714285714,0.607142857142857,FALSE,0.107142857142857,17,3,4.25,32,0,-1,0.78125,0.59375,FALSE,0.15625,19,5,3.16666666666667
"33",0,29,0,-1,0.689655172413793,0.586206896551724,FALSE,0.103448275862069,17,3,4.25,26,1,2,0.807692307692308,0.615384615384615,TRUE,0.115384615384615,16,3,4
"34",1,2,1,2,1,0.5,FALSE,0,1,0,1,1,0,-1,0,0,FALSE,0,0,0,0
"35",1,3,1,3,1,0.333333333333333,FALSE,0,1,0,1,4,0,-4,0,0,FALSE,1,0,4,0
"36",1,6,1,6,1,0.5,TRUE,0,3,0,3,2,1,2,1,0.5,TRUE,0,1,0,1
"37",1,8,1,8,1,0.5,FALSE,0,4,0,4,8,1,3,0.625,0.625,TRUE,0.375,5,3,1.25
"38",1,9,1,9,1,0.555555555555556,TRUE,0,5,0,5,5,1,2,0.8,0.6,TRUE,0,3,0,3
"39",1,10,1,10,1,0.6,TRUE,0,6,0,6,22,0,-1,0.590909090909091,0.454545454545455,FALSE,0.227272727272727,10,5,1.66666666666667
"40",1,11,1,11,1,0.636363636363636,TRUE,0,7,0,7,2,0,-2,0,0,FALSE,1,0,2,0
"41",1,12,1,12,1,0.666666666666667,TRUE,0,8,0,8,2,0,-1,0.5,0.5,FALSE,0.5,1,1,0.5
"42",1,13,1,13,1,0.692307692307692,TRUE,0,9,0,9,7,1,4,0.571428571428571,0.285714285714286,FALSE,0,2,0,2
"43",1,15,1,15,1,0.733333333333333,TRUE,0,11,0,11,50,0,-1,0.56,0.3,FALSE,0.2,15,10,1.36363636363636
"44",1,16,1,16,1,0.75,TRUE,0,12,0,12,10,0,-1,0.7,0.5,FALSE,0.3,5,3,1.25
"45",1,17,1,17,1,0.764705882352941,TRUE,0,13,0,13,34,1,3,0.794117647058823,0.470588235294118,FALSE,0.0882352941176471,16,3,4
"46",1,18,1,18,1,0.722222222222222,FALSE,0,13,0,13,22,1,2,0.772727272727273,0.590909090909091,FALSE,0.136363636363636,13,3,3.25
"47",1,19,1,19,1,0.736842105263158,TRUE,0,14,0,14,14,1,5,0.714285714285714,0.428571428571429,TRUE,0.214285714285714,6,3,1.5
"48",1,20,1,20,1,0.7,FALSE,0,14,0,14,46,0,-1,0.630434782608696,0.456521739130435,FALSE,0.239130434782609,21,11,1.75
"49",1,21,1,21,1,0.666666666666667,FALSE,0,14,0,14,26,1,5,0.769230769230769,0.384615384615385,FALSE,0.0769230769230769,10,2,3.33333333333333
"50",1,22,1,22,1,0.636363636363636,FALSE,0,14,0,14,13,1,5,0.923076923076923,0.538461538461538,TRUE,0,7,0,7
"51",1,24,1,24,1,0.666666666666667,TRUE,0,16,0,16,23,1,3,0.826086956521739,0.521739130434783,TRUE,0.130434782608696,12,3,3
"52",1,25,1,25,1,0.64,FALSE,0,16,0,16,17,1,5,0.764705882352941,0.470588235294118,TRUE,0.235294117647059,8,4,1.6
"53",1,26,1,26,1,0.615384615384615,FALSE,0,16,0,16,24,1,2,0.875,0.791666666666667,TRUE,0.125,19,3,4.75
"54",1,27,1,27,1,0.62962962962963,TRUE,0,17,0,17,31,1,4,0.806451612903226,0.612903225806452,FALSE,0.129032258064516,19,4,3.8
"55",1,28,1,28,1,0.642857142857143,TRUE,0,18,0,18,24,1,4,0.916666666666667,0.833333333333333,TRUE,0.0833333333333333,20,2,6.66666666666667
"56",1,5,1,5,1,1,TRUE,0,5,0,5,5,1,1,0.8,0.4,TRUE,0.2,2,1,1
"57",1,10,1,10,1,0.8,FALSE,0,8,0,8,10,1,9,0.9,0.5,FALSE,0.1,5,1,2.5
"58",1,11,1,11,1,0.727272727272727,FALSE,0,8,0,8,24,1,4,0.791666666666667,0.666666666666667,TRUE,0.166666666666667,16,4,3.2
"59",0,15,1,1,0.933333333333333,0.6,TRUE,0,9,0,9,17,1,6,0.823529411764706,0.647058823529412,TRUE,0.117647058823529,11,2,3.66666666666667
"60",1,18,1,2,0.888888888888889,0.611111111111111,TRUE,0,11,0,11,19,1,8,0.842105263157895,0.631578947368421,TRUE,0.105263157894737,12,2,4
"61",1,19,1,3,0.894736842105263,0.578947368421053,FALSE,0,11,0,11,28,1,3,0.821428571428571,0.607142857142857,TRUE,0.142857142857143,17,4,3.4
"62",1,20,1,4,0.9,0.55,FALSE,0,11,0,11,35,1,1,0.771428571428571,0.514285714285714,FALSE,0.171428571428571,18,6,2.57142857142857
"63",1,21,1,5,0.904761904761905,0.571428571428571,TRUE,0,12,0,12,28,1,2,0.785714285714286,0.392857142857143,FALSE,0.107142857142857,11,3,2.75
"64",1,22,1,6,0.909090909090909,0.545454545454545,FALSE,0,12,0,12,24,1,1,0.791666666666667,0.541666666666667,FALSE,0.0833333333333333,13,2,4.33333333333333
"65",0,23,1,7,0.91304347826087,0.521739130434783,FALSE,0,12,0,12,20,1,6,0.9,0.5,FALSE,0.05,10,1,5
"66",0,25,1,1,0.88,0.48,FALSE,0,12,0,12,19,1,4,0.894736842105263,0.736842105263158,TRUE,0,14,0,14
"67",0,27,0,-2,0.814814814814815,0.444444444444444,FALSE,0.037037037037037,12,1,6,21,1,1,0.80952380952381,0.523809523809524,FALSE,0.142857142857143,11,3,2.75
"68",0,28,0,-3,0.785714285714286,0.428571428571429,FALSE,0.0357142857142857,12,1,6,39,0,-2,0.641025641025641,0.487179487179487,FALSE,0.102564102564103,19,4,3.8
"69",1,16,1,2,0.8125,0.75,TRUE,0.125,12,2,4,5,1,5,1,0.8,FALSE,0,4,0,4
"70",0,19,1,1,0.789473684210526,0.684210526315789,FALSE,0.157894736842105,13,3,3.25,22,0,-2,0.681818181818182,0.545454545454545,FALSE,0.136363636363636,12,3,3
"71",1,24,1,4,0.791666666666667,0.625,FALSE,0.125,15,3,3.75,18,1,1,0.833333333333333,0.388888888888889,TRUE,0.111111111111111,7,2,2.33333333333333
"72",1,25,1,5,0.8,0.64,TRUE,0.12,16,3,4,24,1,8,0.833333333333333,0.75,TRUE,0.0833333333333333,18,2,6
"73",1,26,1,6,0.807692307692308,0.653846153846154,TRUE,0.115384615384615,17,3,4.25,47,0,-2,0.617021276595745,0.446808510638298,FALSE,0.234042553191489,21,11,1.75
"74",1,27,1,7,0.814814814814815,0.62962962962963,FALSE,0.111111111111111,17,3,4.25,27,0,-1,0.740740740740741,0.518518518518518,FALSE,0.0740740740740741,14,2,4.66666666666667
"75",0,28,1,8,0.821428571428571,0.607142857142857,FALSE,0.107142857142857,17,3,4.25,16,1,1,0.875,0.6875,TRUE,0.125,11,2,3.66666666666667
"76",0,29,0,-1,0.793103448275862,0.586206896551724,FALSE,0.103448275862069,17,3,4.25,23,1,3,0.826086956521739,0.652173913043478,FALSE,0.0869565217391304,15,2,5
"77",0,30,0,-2,0.766666666666667,0.566666666666667,FALSE,0.133333333333333,17,4,3.4,21,0,-1,0.904761904761905,0.428571428571429,FALSE,0,9,0,9
"78",0,31,0,-3,0.741935483870968,0.548387096774194,FALSE,0.129032258064516,17,4,3.4,11,0,-1,0.818181818181818,0.727272727272727,FALSE,0.0909090909090909,8,1,4
"79",1,32,0,-4,0.71875,0.53125,FALSE,0.15625,17,5,2.83333333333333,20,0,-1,0.75,0.6,FALSE,0.1,12,2,4
"80",0,34,0,-1,0.705882352941177,0.5,FALSE,0.147058823529412,17,5,2.83333333333333,30,0,-1,0.766666666666667,0.433333333333333,FALSE,0.1,13,3,3.25
"81",1,36,1,1,0.694444444444444,0.472222222222222,FALSE,0.138888888888889,17,5,2.83333333333333,17,1,1,0.647058823529412,0.529411764705882,FALSE,0.176470588235294,9,3,2.25
"82",1,12,1,2,0.833333333333333,0.75,TRUE,0.166666666666667,9,2,3,22,1,3,0.545454545454545,0.454545454545455,TRUE,0.227272727272727,10,5,1.66666666666667
"83",0,13,1,3,0.846153846153846,0.692307692307692,FALSE,0.153846153846154,9,2,3,20,1,6,0.8,0.7,TRUE,0.15,14,3,3.5
"84",1,14,0,-1,0.785714285714286,0.642857142857143,FALSE,0.142857142857143,9,2,3,40,1,3,0.725,0.675,TRUE,0.2,27,8,3
"85",0,15,1,1,0.8,0.6,FALSE,0.133333333333333,9,2,3,15,1,1,0.733333333333333,0.4,TRUE,0.133333333333333,6,2,2
"86",1,16,0,-1,0.75,0.5625,FALSE,0.125,9,2,3,21,1,1,0.619047619047619,0.476190476190476,TRUE,0.19047619047619,10,4,2
"87",0,20,1,4,0.8,0.55,TRUE,0.1,11,2,3.66666666666667,32,1,1,0.78125,0.46875,FALSE,0.09375,15,3,3.75
"88",0,21,0,-1,0.761904761904762,0.523809523809524,FALSE,0.142857142857143,11,3,2.75,58,0,-1,0.689655172413793,0.53448275862069,FALSE,0.155172413793103,31,9,3.1
"89",0,23,1,1,0.739130434782609,0.478260869565217,FALSE,0.173913043478261,11,4,2.2,12,1,1,0.916666666666667,0.75,TRUE,0.0833333333333333,9,1,4.5
"90",0,24,0,-1,0.708333333333333,0.458333333333333,FALSE,0.208333333333333,11,5,1.83333333333333,16,0,-2,0.8125,0.625,FALSE,0.0625,10,1,5
"91",0,12,1,12,1,0.916666666666667,TRUE,0,11,0,11,11,0,-1,0.909090909090909,0.727272727272727,FALSE,0.0909090909090909,8,1,4
"92",1,14,1,1,0.928571428571429,0.857142857142857,TRUE,0.0714285714285714,12,1,6,17,1,2,0.764705882352941,0.529411764705882,FALSE,0,9,0,9
"93",0,16,1,3,0.9375,0.875,TRUE,0.0625,14,1,7,21,0,-1,0.80952380952381,0.476190476190476,FALSE,0.142857142857143,10,3,2.5
"94",1,6,1,6,1,1,TRUE,0,6,0,6,17,1,1,0.470588235294118,0.470588235294118,TRUE,0.352941176470588,8,6,1.14285714285714
"95",0,10,1,10,1,1,TRUE,0,10,0,10,22,1,3,0.863636363636364,0.590909090909091,TRUE,0.0909090909090909,13,2,4.33333333333333
"96",0,11,0,-1,0.909090909090909,0.909090909090909,FALSE,0,10,0,10,45,1,5,0.711111111111111,0.577777777777778,FALSE,0.155555555555556,26,7,3.25
"97",1,13,1,1,0.846153846153846,0.769230769230769,FALSE,0,10,0,10,19,1,9,0.789473684210526,0.631578947368421,TRUE,0.157894736842105,12,3,3
"98",0,16,1,4,0.875,0.8125,TRUE,0,13,0,13,17,1,2,0.764705882352941,0.411764705882353,FALSE,0.0588235294117647,7,1,3.5
"99",1,17,0,-1,0.823529411764706,0.764705882352941,FALSE,0.0588235294117647,13,1,6.5,4,0,-2,0.5,0.25,FALSE,0.5,1,2,0.333333333333333
"100",0,18,1,1,0.833333333333333,0.777777777777778,TRUE,0.0555555555555556,14,1,7,9,1,9,1,0.777777777777778,FALSE,0,7,0,7
"101",1,11,1,1,0.727272727272727,0.636363636363636,TRUE,0.181818181818182,7,2,2.33333333333333,13,0,-2,0.769230769230769,0.384615384615385,FALSE,0.153846153846154,5,2,1.66666666666667
"102",1,12,1,2,0.75,0.583333333333333,FALSE,0.166666666666667,7,2,2.33333333333333,41,1,1,0.707317073170732,0.463414634146341,FALSE,0.195121951219512,19,8,2.11111111111111
