"","rowid","Result","Fighter","Event","Method.Referee","R","Time","Date","VS..Fighter","Location","NA."
"3503","151","loss","Herbert Burns","One Championship 31 - Odyssey of ChampionsSep / 27 / 2015","Submission (Rear-Naked Choke)Olivier Coste",1,"3:26",NA,NA,NA,NA
"3504","151","win","Yusuke Kawanago","One Championship 28 - Dynasty of Champions 2Jun / 20 / 2015","TKO (Soccer Kicks) N/A",1,"1:32",NA,NA,NA,NA
"3505","151","win","Eduard Folayang","One FC 23 - Warrior's WayDec / 05 / 2014","KO (Flying Knee and Soccer Kicks)Yuji Shimada",1,"3:11",NA,NA,NA,NA
"3506","151","win","Sayd-Hamzat Avkhadov","Absolute Championship Berkut - Grand Prix Berkut 9Jun / 22 / 2014","KO (Punch)Alexander Sidorin",1,"0:54",NA,NA,NA,NA
"3507","151","win","Mairbek Makhanov","Siberian League - Combat Kuzbass 2May / 12 / 2014","KO (Punch)Anatoly Merenkov",1,"0:20",NA,NA,NA,NA
"3508","151","win","Nikolay Romanschikov","Altay Republik MMA League - ThrowdownMay / 01 / 2014","Submission (Triangle Choke)Andrey Korchuganov",1,"0:46",NA,NA,NA,NA
"3509","151","win","Shamil Rafikov","Eurasian Fighting Championship - Siberian ChallengeFeb / 23 / 2014","Submission (Triangle Choke)Anatoly Merenkov",1,"3:52",NA,NA,NA,NA
"3510","151","win","Levon Oganyan","Russian MMA Union - 2013 Russian MMA Super CupDec / 22 / 2013","TKO (Punches)Viktor Korneev",1,"3:10",NA,NA,NA,NA
"3511","151","win","Alexander Vasiliev","White Rex - Warrior SpiritOct / 20 / 2013","Submission (Rear-Naked Choke)Anatoly Merenkov",1,"0:33",NA,NA,NA,NA
"3512","151","win","Dmitry Yermolaev","Siberian League - Siberia vs. KazakhstanApr / 08 / 2013","Submission (Triangle Choke)Anatoly Merenkov",1,"1:30",NA,NA,NA,NA
"3513","151","loss","Magomedsaigi Guseinov","Siberian League - Siberia vs. UralApr / 26 / 2010","Submission (Rear-Naked Choke)N/A",1,"5:43",NA,NA,NA,NA
"3514","152","win","Dan Hooker","UFC 257 - Poirier vs. McGregor 2Jan / 23 / 2021","TKO (Punches)Marc Goddard",1,"2:30",NA,NA,NA,NA
"3515","152","win","Benson Henderson","Bellator 243 - Chandler vs. Henderson 2Aug / 07 / 2020","KO (Punches)Dan Miragliotta",1,"2:09",NA,NA,NA,NA
"3516","152","win","Sidney Outlaw","Bellator 237 - Fedor vs. RampageDec / 29 / 2019","KO (Punches)Bryan Miner",1,"2:59",NA,NA,NA,NA
"3517","152","loss","Patricio Freire","Bellator 221 - Chandler vs. PitbullMay / 11 / 2019","TKO (Punches)Rob Madrigal",1,"1:01",NA,NA,NA,NA
"3518","152","win","Brent Primus","Bellator 212 - Primus vs. Chandler 2Dec / 14 / 2018","Decision (Unanimous)Herb Dean",5,"5:00",NA,NA,NA,NA
"3519","152","win","Brandon Girtz","Bellator 197 - Chandler vs. GirtzApr / 13 / 2018","Technical Submission (Arm-Triangle Choke)Jason Herzog",1,"4:00",NA,NA,NA,NA
"3520","152","win","Goiti Yamauchi","Bellator 192 - Jackson vs. SonnenJan / 20 / 2018","Decision (Unanimous)Blake Grice",3,"5:00",NA,NA,NA,NA
"3521","152","loss","Brent Primus","Bellator 180 - Sonnen vs. SilvaJun / 24 / 2017","TKO (Doctor Stoppage)Todd Anderson",1,"2:22",NA,NA,NA,NA
"3522","152","win","Benson Henderson","Bellator 165 - Chandler vs. HendersonNov / 19 / 2016","Decision (Split)John McCarthy",5,"5:00",NA,NA,NA,NA
"3523","152","win","Patricky Freire","Bellator 157 - Dynamite 2Jun / 24 / 2016","KO (Punch)John McCarthy",1,"2:14",NA,NA,NA,NA
"3524","152","win","David Rickels","Bellator 145 - VengeanceNov / 06 / 2015","TKO (Punches)Mike England",2,"3:05",NA,NA,NA,NA
"3525","152","win","Derek Campos","Bellator 138 - Unfinished BusinessJun / 19 / 2015","Submission (Rear-Naked Choke)Mike England",1,"2:17",NA,NA,NA,NA
"3526","152","loss","Will Brooks","Bellator 131 - Tito vs. BonnarNov / 15 / 2014","TKO (Punches)Jason Herzog",4,"3:48",NA,NA,NA,NA
"3527","152","loss","Will Brooks","Bellator MMA - Bellator 120May / 17 / 2014","Decision (Split)Kevin MacDonald",5,"5:00",NA,NA,NA,NA
"3528","152","loss","Eddie Alvarez","Bellator MMA - Bellator 106Nov / 02 / 2013","Decision (Split)John McCarthy",5,"5:00",NA,NA,NA,NA
"3529","152","win","David Rickels","Bellator MMA - Bellator 97Jul / 31 / 2013","KO (Punches)Jason Herzog",1,"0:44",NA,NA,NA,NA
"3530","152","win","Rick Hawn","Bellator MMA - Bellator 85Jan / 17 / 2013","Submission (Rear-Naked Choke)John McCarthy",2,"3:07",NA,NA,NA,NA
"3531","152","win","Akihiro Gono","BFC - Bellator Fighting Championships 67May / 04 / 2012","TKO (Punches)Yves Lavigne",1,"0:56",NA,NA,NA,NA
"3532","152","win","Eddie Alvarez","BFC - Bellator Fighting Championships 58Nov / 19 / 2011","Submission (Rear-Naked Choke)Troy Waugh",4,"3:06",NA,NA,NA,NA
"3533","152","win","Patricky Freire","BFC - Bellator Fighting Championships 44May / 14 / 2011","Decision (Unanimous)Keith Peterson",3,"5:00",NA,NA,NA,NA
"3534","152","win","Lloyd Woodard","BFC - Bellator Fighting Championships 40Apr / 09 / 2011","Decision (Unanimous)Jason Herzog",3,"5:00",NA,NA,NA,NA
"3535","152","win","Marcin Held","BFC - Bellator Fighting Championships 36Mar / 12 / 2011","Technical Submission (Arm-Triangle Choke)Gary Copeland",1,"3:56",NA,NA,NA,NA
"3536","152","win","Chris  Page","BFC - Bellator Fighting Championships 32Oct / 14 / 2010","Submission (Guillotine Choke)Mike England",1,"0:57",NA,NA,NA,NA
"3537","152","win","Scott Stapp","BFC - Bellator Fighting Championships 31Sep / 30 / 2010","TKO (Punches)Jason Herzog",1,"1:57",NA,NA,NA,NA
"3538","152","win","Salvador Woods","Strikeforce - Heavy ArtilleryMay / 15 / 2010","Submission (Rear-Naked Choke)John McCarthy",1,"0:59",NA,NA,NA,NA
"3539","152","win","Richard Bouphanouvong","Strikeforce - Challengers 5Nov / 20 / 2009","TKO (Punches)N/A",2,"2:07",NA,NA,NA,NA
"3540","152","win","Kyle Swadley","FB - First BloodAug / 08 / 2009","TKO (Punches)N/A",1,"3:30",NA,NA,NA,NA
"3541","153","loss","Tofiq Musayev","Rizin FF - Rizin 20Dec / 31 / 2019","Decision (Unanimous)Minoru Toyonaga",3,"5:00",NA,NA,NA,NA
"3542","153","win","Luiz Gustavo Felix dos Santos","Rizin FF - Rizin 20Dec / 31 / 2019","TKO (Punches and Soccer Kick)Minoru Toyonaga",1,"0:28",NA,NA,NA,NA
"3543","153","win","Tatsuya Kawajiri","Rizin FF - Rizin 19: Lightweight Grand Prix 1st RoundOct / 12 / 2019","KO (Flying Knee and Punches)Minoru Toyonaga",1,"1:10",NA,NA,NA,NA
"3544","153","win","Ryan Scope","Bellator Newcastle - Pitbull vs. ScopeFeb / 09 / 2019","Decision (Split)Kevin MacDonald",3,"5:00",NA,NA,NA,NA
"3545","153","win","Roger Huerta","Bellator 205 - McKee vs. MacapaSep / 21 / 2018","KO (Punch)Tom Supnet",2,"0:43",NA,NA,NA,NA
"3546","153","win","Derek Campos","Bellator 194 - Nelson vs. MitrioneFeb / 16 / 2018","TKO (Punches)Kevin MacDonald",1,"2:23",NA,NA,NA,NA
"3547","153","win","Benson Henderson","Bellator 183 - Henderson vs. FreireSep / 23 / 2017","Decision (Split)John McCarthy",3,"5:00",NA,NA,NA,NA
"3548","153","win","Josh Thomson","Bellator 172 - Thomson vs. PitbullFeb / 18 / 2017","KO (Punch)John McCarthy",2,"0:40",NA,NA,NA,NA
"3549","153","loss","Michael Chandler","Bellator 157 - Dynamite 2Jun / 24 / 2016","KO (Punch)John McCarthy",1,"2:14",NA,NA,NA,NA
"3550","153","win","Edimilson Souza","Bellator 152 - Freire vs. SouzaApr / 16 / 2016","Decision (Unanimous)John McCarthy",3,"5:00",NA,NA,NA,NA
"3551","153","win","Ryan Couture","Bellator 148 - Daley vs. UhrichJan / 29 / 2016","KO (Punch)John McCarthy",1,"3:00",NA,NA,NA,NA
"3552","153","loss","Derek Anderson","Bellator 147 - Thomson vs. VillasecaDec / 04 / 2015","Decision (Split)Mike Beltran",3,"5:00",NA,NA,NA,NA
"3553","153","win","Saad Awad","Bellator 141 - Guillard vs. GirtzAug / 28 / 2015","Decision (Unanimous)Mike Beltran",3,"5:00",NA,NA,NA,NA
"3554","153","loss","Marcin Held","Bellator MMA - Bellator 126Sep / 26 / 2014","Decision (Unanimous)Jason Herzog",3,"5:00",NA,NA,NA,NA
"3555","153","win","Derek Campos","Bellator MMA - Bellator 117Apr / 18 / 2014","TKO (Punches)Rob Hinds",2,"0:52",NA,NA,NA,NA
"3556","153","win","David Rickels","Bellator MMA - Bellator 113Mar / 21 / 2014","KO (Punches)Jason Herzog",2,"0:54",NA,NA,NA,NA
"3557","153","win","Edson Berto","Bellator MMA - Bellator 107Nov / 08 / 2013","Decision (Unanimous)Jason Herzog",3,"5:00",NA,NA,NA,NA
"3558","153","loss","Derek Anderson","Bellator MMA - Bellator 98Sep / 07 / 2013","Decision (Unanimous)Keith Peterson",3,"5:00",NA,NA,NA,NA
"3559","153","loss","Eddie Alvarez","BFC - Bellator Fighting Championships 76Oct / 12 / 2012","KO (Head Kick and Punches)John McCarthy",1,"4:54",NA,NA,NA,NA
"3560","153","loss","Lloyd Woodard","BFC - Bellator Fighting Championships 62Mar / 23 / 2012","Submission (Kimura)Jacob Montalvo",2,"1:46",NA,NA,NA,NA
"3561","153","win","Kurt Pellegrino","BFC - Bellator Fighting Championships 59Nov / 26 / 2011","TKO (Punches)Kevin MacDonald",1,"0:50",NA,NA,NA,NA
"3562","153","loss","Michael Chandler","BFC - Bellator Fighting Championships 44May / 14 / 2011","Decision (Unanimous)Keith Peterson",3,"5:00",NA,NA,NA,NA
"3563","153","win","Toby Imada","BFC - Bellator Fighting Championships 39Apr / 02 / 2011","KO (Flying Knee and Punches)Kevin MacDonald",1,"2:53",NA,NA,NA,NA
"3564","153","win","Rob McCullough","BFC - Bellator Fighting Championships 36Mar / 12 / 2011","TKO (Punches)Gary Copeland",3,"3:11",NA,NA,NA,NA
"3565","153","win","Yure  Machado","AGF - Arena Gold Fights 2Jul / 17 / 2010","Decision (Unanimous)Miguel Repanas",3,"5:00",NA,NA,NA,NA
"3566","153","win","Marlon Medeiros","PFB - Platinum Fight Brazil 3May / 20 / 2010","TKO (Flying Knee and Punches)N/A",2,"N/A",NA,NA,NA,NA
"3567","153","win","Ermesson Silveira Queiroz","GFC - Gouveia Fight ChampionshipApr / 08 / 2010","Submission (Guillotine Choke)N/A",2,"0:00",NA,NA,NA,NA
"3568","153","loss","Willamy Freire","RFC - Rino's FC 4Sep / 27 / 2007","Technical Decision (Majority)N/A",3,"1:45",NA,NA,NA,NA
"3569","153","win","Maykon Costa","Leal Combat - NatalJul / 05 / 2007","Decision (Unanimous)N/A",3,"5:00",NA,NA,NA,NA
"3570","153","win","Joao Paulo Rodrigues de Souza","CFN - Cage Fight NordesteNov / 09 / 2006","KO (Stomps)N/A",1,"0:50",NA,NA,NA,NA
"3571","153","win","Gleidson Alves Martins","FSLB - Fight Ship Looking Boy 2Nov / 22 / 2005","KO (Stomps)N/A",3,"0:00",NA,NA,NA,NA
"3572","153","win","Arquimedes Vieira","FSLB - Fight Ship Looking Boy 1Sep / 08 / 2005","KO (Stomps)N/A",1,"0:00",NA,NA,NA,NA
"3573","154","win","James Nakashima","One Championship - UnbreakableJan / 22 / 2021","Submission (Rear-Naked Choke)Mohamad Sulaiman",1,"2:42",NA,NA,NA,NA
"3574","154","win","Kimihiro Eto","Shooto - Road to ONE: 3rd Tokyo Fight NightSep / 10 / 2020","Decision (Unanimous)N/A",3,"5:00",NA,NA,NA,NA
"3575","154","win","Honorio Banario","One Championship - Century - Part 2Oct / 13 / 2019","Technical Submission (D'Arce Choke)Kemp Cheng",1,"0:54",NA,NA,NA,NA
"3576","154","loss","Christian Lee","One Championship - Enter the DragonMay / 17 / 2019","TKO (Punches)Olivier Coste",2,"0:51",NA,NA,NA,NA
"3577","154","win","Eduard Folayang","One Championship - A New EraMar / 31 / 2019","Technical Submission (Arm-Triangle Choke)Olivier Coste",1,"2:34",NA,NA,NA,NA
"3578","154","win","Ev Ting","One Championship - Kingdom of HeroesOct / 06 / 2018","Submission (Arm-Triangle Choke)N/A",1,"0:57",NA,NA,NA,NA
"3579","154","win","Shannon Wiratchai","One Championship - Reign of KingsJul / 27 / 2018","TKO (Elbows)Olivier Coste",1,"2:16",NA,NA,NA,NA
"3580","154","win","Rasul Yakhyaev","One Championship - Unstoppable DreamsMay / 18 / 2018","Submission (Triangle Choke)N/A",1,"3:15",NA,NA,NA,NA
"3581","154","loss","Ben Askren","One Championship - Immortal PursuitNov / 24 / 2017","TKO (Punches)N/A",1,"0:57",NA,NA,NA,NA
"3582","154","loss","Eduard Folayang","One Championship - Defending HonorNov / 11 / 2016","TKO (Punches)Yuji Shimada",3,"0:41",NA,NA,NA,NA
"3583","154","win","Kazushi Sakuraba","Rizin Fighting Federation - Saraba no UtakeDec / 29 / 2015","TKO (Corner Stoppage)Masato Fukuda",1,"5:56",NA,NA,NA,NA
"3584","154","win","Koji Ando","One Championship 27 - Warrior's QuestMay / 22 / 2015","Decision (Unanimous)Olivier Coste",5,"5:00",NA,NA,NA,NA
"3585","154","win","Yuki Yamamoto","IGF - Inoki Bom-Ba-Ye 2014Dec / 31 / 2014","Submission (Twister)N/A",1,"1:21",NA,NA,NA,NA
"3586","154","win","Kamal Shalorus","One FC 19 - Reign of ChampionsAug / 29 / 2014","Submission (Rear-Naked Choke)Yuji Shimada",1,"2:15",NA,NA,NA,NA
"3587","154","win","Toshikatsu Harada","IGF - Inoki Bom-Ba-Ye 2013Dec / 31 / 2013","Technical Submission (Triangle Armbar)N/A",1,"0:49",NA,NA,NA,NA
"3588","154","win","Cody Stevens","One FC 11 - Total DominationOct / 18 / 2013","Decision (Unanimous)Kenichi Serizawa",3,"5:00",NA,NA,NA,NA
"3589","154","win","Kotetsu Boku","One FC 8 - Kings and ChampionsApr / 05 / 2013","Submission (Rear-Naked Choke)Yuji Shimada",2,"2:01",NA,NA,NA,NA
"3590","154","win","Antonio McKee","Dream 18 - Special NYE 2012Dec / 31 / 2012","TKO (Submission to Punch)Kenichi Serizawa",2,"0:24",NA,NA,NA,NA
"3591","154","win","Arnaud Lepont","One FC 6 - Rise of KingsOct / 06 / 2012","Technical Submission (Triangle Choke)Yuji Shimada",1,"1:25",NA,NA,NA,NA
"3592","154","loss","Eddie Alvarez","BFC - Bellator Fighting Championships 66Apr / 20 / 2012","TKO (Punches)Jerry Krzys",1,"2:14",NA,NA,NA,NA
"3593","154","win","Satoru Kitaoka","Dream - Fight for Japan: Genki Desu Ka! New Year! 2011Dec / 31 / 2011","Decision (Unanimous)Moritaka Oshiro",5,"5:00",NA,NA,NA,NA
"3594","154","win","Rob McCullough","Dream - Dream 17Sep / 24 / 2011","Submission (Neck Crank)N/A",1,"4:57",NA,NA,NA,NA
"3595","154","win","Rich Clementi","Dream - Fight for Japan: 2011 Japan Bantamweight TournamentMay / 29 / 2011","Submission (Neck Crank)Yuji Shimada",2,"2:17",NA,NA,NA,NA
"3596","154","win","Lyle Beerbohm","Strikeforce - Diaz vs. DaleyApr / 09 / 2011","Submission (Neck Crank)John McCarthy",1,"1:33",NA,NA,NA,NA
"3597","154","win","Yokthai Sithoar","Deep - 50 ImpactOct / 24 / 2010","Submission (Keylock)Yuji Shimada",1,"1:00",NA,NA,NA,NA
"3598","154","win","Marcus Aurelio","Dream - Dream 16Sep / 25 / 2010","Decision (Unanimous)Yuji Shimada",2,"5:00",NA,NA,NA,NA
"3599","154","win","Tatsuya Kawajiri","Dream - Dream 15Jul / 10 / 2010","Submission (Achilles Lock)Yuji Shimada",1,"1:53",NA,NA,NA,NA
"3600","154","loss","Gilbert Melendez","Strikeforce - NashvilleApr / 17 / 2010","Decision (Unanimous)Mario Yamasaki",5,"5:00",NA,NA,NA,NA
"3601","154","win","Mizuto Hirota","K-1 - Dynamite!! Power of Courage 2009Dec / 31 / 2009","Technical Submission (Hammerlock)Yuji Shimada",1,"2:17",NA,NA,NA,NA
"3602","154","win","Joachim Hansen","Dream 11 - Featherweight Grand Prix 2009 FinalOct / 06 / 2009","Submission (Armbar)Yuji Shimada",2,"4:56",NA,NA,NA,NA
"3603","154","win","Vitor Ribeiro","Dream 10 - Welterweight Grand Prix 2009 FinalJul / 20 / 2009","Decision (Unanimous)Yuji Shimada",2,"5:00",NA,NA,NA,NA
"3604","154","loss","Hayato Sakurai","Dream 8 - Welterweight Grand Prix 2009 Opening RoundApr / 05 / 2009","TKO (Knees and Punches)Daisuke Noguchi",1,"0:27",NA,NA,NA,NA
"3605","154","win","David Gardner","Dream 7 - Featherweight Grand Prix 2009 Opening RoundMar / 08 / 2009","Submission (Rear-Naked Choke)Daisuke Noguchi",1,"5:58",NA,NA,NA,NA
"3606","154","win","Eddie Alvarez","K-1 - Dynamite!! Power of Courage 2008Dec / 31 / 2008","Submission (Heel Hook)Daisuke Noguchi",1,"1:32",NA,NA,NA,NA
"3607","154","win","Todd Moore","Dream 6 - Middleweight Grand Prix 2008 FinalSep / 23 / 2008","Submission (Neck Crank)N/A",1,"1:10",NA,NA,NA,NA
"3608","154","loss","Joachim Hansen","Dream 5 - Lightweight Grand Prix 2008 FinalJul / 21 / 2008","TKO (Punches)N/A",1,"4:19",NA,NA,NA,NA
"3609","154","win","Caol Uno","Dream 5 - Lightweight Grand Prix 2008 FinalJul / 21 / 2008","Decision (Unanimous)N/A",2,"5:00",NA,NA,NA,NA
"3610","154","win","Katsuhiko Nagata","Dream 4 - Middleweight Grand Prix 2008 QuarterfinalsJun / 15 / 2008","Submission (Gogoplata)N/A",1,"5:12",NA,NA,NA,NA
"3611","154","win","Gesias Cavalcante","Dream 2 - Middleweight Grand Prix 2008 Opening RoundApr / 29 / 2008","Decision (Unanimous)N/A",2,"5:00",NA,NA,NA,NA
"3612","154","NC","Gesias Cavalcante","Dream 1 - Lightweight Grand Prix 2008 Opening RoundMar / 15 / 2008","No Contest (Aoki Injured by Illegal Elbows)N/A",1,"3:46",NA,NA,NA,NA
"3613","154","win","Bu Kyung Jung","Yarennoka - New Years Eve 2007Dec / 31 / 2007","Decision (Unanimous)N/A",2,"5:00",NA,NA,NA,NA
"3614","154","win","Brian Lo-A-Njoe","Pride 34 - KamikazeApr / 08 / 2007","Submission (Armbar)N/A",1,"1:33",NA,NA,NA,NA
"3615","154","win","Akira Kikuchi","Shooto - Back To Our Roots 1Feb / 17 / 2007","Decision (Split)N/A",3,"5:00",NA,NA,NA,NA
"3616","154","win","Joachim Hansen","Pride FC - Shockwave 2006Dec / 31 / 2006","Submission (Gogoplata)N/A",1,"2:24",NA,NA,NA,NA
"3617","154","win","Clay French","Pride - Bushido 13Nov / 05 / 2006","Submission (Flying Triangle Choke)N/A",1,"3:57",NA,NA,NA,NA
"3618","154","win","George Sotiropoulos","Shooto - Champion CarnivalOct / 14 / 2006","DQ (Groin Strike)N/A",2,"0:05",NA,NA,NA,NA
"3619","154","win","Jason Black","Pride - Bushido 12Aug / 26 / 2006","Submission (Triangle Choke)N/A",1,"1:58",NA,NA,NA,NA
"3620","154","win","Akira Kikuchi","Shooto - The Victory of the TruthFeb / 17 / 2006","Decision (Unanimous)N/A",3,"5:00",NA,NA,NA,NA
"3621","154","win","Kuniyoshi Hironaka","Shooto 2005 - 11/6 in Korakuen HallNov / 06 / 2005","TKO (Cut)N/A",1,"2:10",NA,NA,NA,NA
"3622","154","loss","Hayato Sakurai","Shooto - Alive RoadAug / 20 / 2005","Decision (Unanimous)N/A",3,"5:00",NA,NA,NA,NA
"3623","154","win","Shigetoshi Iwase","Shooto 2005 - 7/30 in Korakuen HallJul / 30 / 2005","DQ (Low Blow)N/A",1,"0:35",NA,NA,NA,NA
"3624","154","win","Keith Wisniewski","Shooto - 1/29 in Korakuen HallJan / 29 / 2005","Submission (Standing Armlock)N/A",1,"2:22",NA,NA,NA,NA
"3625","154","loss","Jutaro Nakao","Deep - 16th ImpactOct / 30 / 2004","KO (Punch)Daisuke Noguchi",1,"4:29",NA,NA,NA,NA
"3626","154","win","Seichi Ikemoto","Deep - 15th ImpactJul / 03 / 2004","Submission (Armbar)Moritaka Oshiro",2,"0:52",NA,NA,NA,NA
"3627","154","win","Yasutoshi Ryu","Deep - clubDeep West ChofuNov / 24 / 2003","Submission (Armbar)N/A",1,"0:51",NA,NA,NA,NA
"3628","154","win","Dai Okimura","Deep - clubDeep West ChofuNov / 24 / 2003","Submission (Armbar)N/A",1,"3:14",NA,NA,NA,NA
"3629","155","loss","Adam Borics","Bellator 226 - Bader vs. KongoSep / 07 / 2019","TKO (Punches)Frank Trigg",2,"4:59",NA,NA,NA,NA
"3630","155","loss","A.J. McKee","Bellator 221 - Chandler vs. PitbullMay / 11 / 2019","Decision (Unanimous)Kevin MacDonald",3,"5:00",NA,NA,NA,NA
"3631","155","win","John Teixeira","Bellator 184 - Dantas vs. CaldwellOct / 06 / 2017","Decision (Unanimous)Jerin Valel",3,"5:00",NA,NA,NA,NA
"3632","155","win","Georgi Karakhanyan","Bellator 155 - Carvalho vs. ManhoefMay / 20 / 2016","Decision (Unanimous)Jason Herzog",3,"5:00",NA,NA,NA,NA
"3633","155","win","Emmanuel Sanchez","Bellator 139 - Kongo vs. VolkovJun / 26 / 2015","Decision (Unanimous)John McCarthy",3,"5:00",NA,NA,NA,NA
"3634","155","loss","Daniel Weichel","Bellator 133 - Manhoef vs. ShlemenkoFeb / 13 / 2015","Decision (Split)John McCarthy",3,"5:00",NA,NA,NA,NA
"3635","155","loss","Patricio Freire","Bellator MMA - Bellator 123Sep / 05 / 2014","Decision (Unanimous)Kevin MacDonald",5,"5:00",NA,NA,NA,NA
"3636","155","win","Daniel Straus","Bellator MMA - Bellator 112Mar / 14 / 2014","Submission (Rear-Naked Choke)Gary Copeland",5,"4:46",NA,NA,NA,NA
"3637","155","loss","Daniel Straus","Bellator MMA - Bellator 106Nov / 02 / 2013","Decision (Unanimous)Jason Herzog",5,"5:00",NA,NA,NA,NA
"3638","155","win","Shahbulat Shamhalaev","Bellator MMA - Bellator 95Apr / 04 / 2013","Technical Submission (Guillotine Choke)Keith Peterson",1,"2:38",NA,NA,NA,NA
"3639","155","win","Patricio Freire","Bellator MMA - Bellator 85Jan / 17 / 2013","Decision (Split)Jason Herzog",5,"5:00",NA,NA,NA,NA
"3640","155","win","Joe Warren","BFC - Bellator Fighting Championships 60Mar / 09 / 2012","KO (Punches)Jeff Malott",3,"1:25",NA,NA,NA,NA
"3641","155","win","Marlon Sandro","BFC - Bellator Fighting Championships 48Aug / 20 / 2011","KO (Head Kick)Keith Peterson",2,"4:00",NA,NA,NA,NA
"3642","155","win","Ronnie Mann","BFC - Bellator Fighting Championships 47Jul / 23 / 2011","Decision (Unanimous)Yves Lavigne",3,"5:00",NA,NA,NA,NA
"3643","155","win","Luis Palomino","BFC - Bellator Fighting Championships 46Jun / 25 / 2011","Submission (Peruvian Necktie)Troy Waugh",1,"3:49",NA,NA,NA,NA
"3644","155","loss","Eddie Alvarez","BFC - Bellator Fighting Championships 39Apr / 02 / 2011","Decision (Unanimous)Keith Peterson",5,"5:00",NA,NA,NA,NA
"3645","155","win","Toby Imada","BFC - Bellator Fighting Championships 21Jun / 10 / 2010","Decision (Split)Jorge Ortiz",3,"5:00",NA,NA,NA,NA
"3646","155","win","Roger Huerta","BFC - Bellator Fighting Championships 17May / 06 / 2010","Decision (Unanimous)Dan Miragliotta",3,"5:00",NA,NA,NA,NA
"3647","155","win","Mike Ricci","BFC - Bellator Fighting Championships 14Apr / 15 / 2010","KO (Punch)David Smith",1,"3:01",NA,NA,NA,NA
"3648","155","win","Robbie Olivier","Trojan MMA - Trojan WarfareFeb / 27 / 2010","Decision (Unanimous)N/A",3,"5:00",NA,NA,NA,NA
"3649","155","loss","Travis Perzynski","XFO 34 - Curran vs. HoriDec / 05 / 2009","Submission (Rear-Naked Choke)N/A",2,"4:38",NA,NA,NA,NA
"3650","155","win","Jay Ellis","XFO - Xtreme Fighting Organization 32Oct / 10 / 2009","Submission (Guillotine Choke)N/A",1,"0:58",NA,NA,NA,NA
"3651","155","win","Lucas Gwaltney","XFO 31 - Outdoor War 5Aug / 15 / 2009","TKO (Punches)N/A",1,"1:32",NA,NA,NA,NA
"3652","155","loss","Charles Diaz","EFC 4 - Elite Fighting Challenge 4Jun / 27 / 2009","Decision (Split)N/A",3,"5:00",NA,NA,NA,NA
"3653","155","win","Mike Pickett","XFO - Xtreme Fighting Organization 30May / 02 / 2009","Submission (Rear-Naked Choke)N/A",1,"1:56",NA,NA,NA,NA
"3654","155","win","Daniel Straus","XFO - Xtreme Fighting Organization 29Apr / 17 / 2009","KO (Punches)Andrew Krzeptowski",2,"1:31",NA,NA,NA,NA
"3655","155","win","Ramiro Hernandez","AMMA 2 - Adrenaline MMA 2Dec / 11 / 2008","Decision (Unanimous)Todd Frederickson",3,"5:00",NA,NA,NA,NA
"3656","155","loss","Darren Elkins","C3 - DominationNov / 22 / 2008","Decision (Unanimous)N/A",3,"5:00",NA,NA,NA,NA
"3657","155","win","Jay Ellis","EC 110 - Extreme Challenge 110Nov / 07 / 2008","Submission (Rear-Naked Choke)N/A",1,"0:51",NA,NA,NA,NA
"3658","155","win","Amir Khillah","XFO 25 - Outdoor War 4Aug / 09 / 2008","Decision (Split)Marc Fennell",3,"5:00",NA,NA,NA,NA
"3659","155","win","Lazar Stojadinovic","XFO 23 - Title NightApr / 25 / 2008","Decision (Unanimous)N/A",3,"5:00",NA,NA,NA,NA
"3660","155","win","Tony Hervey","XFO 22 - Rising StarFeb / 23 / 2008","Submission (Rear-Naked Choke)N/A",1,"1:24",NA,NA,NA,NA
"3661","156","loss","Sidney Outlaw","Bellator 234 - Kharitonov vs. VassellNov / 15 / 2019","Decision (Unanimous)Mike Beltran",3,"5:00",NA,NA,NA,NA
"3662","156","loss","Patricky Freire","Bellator 205 - McKee vs. MacapaSep / 21 / 2018","KO (Punch)Tom Supnet",2,"0:43",NA,NA,NA,NA
"3663","156","loss","Benson Henderson","Bellator 196 - Henderson vs. HuertaApr / 06 / 2018","Submission (Guillotine Choke)N/A",2,"0:49",NA,NA,NA,NA
"3664","156","win","Hayder Hassan","Phoenix Fighting Championship - Phoenix 4: DubaiDec / 22 / 2017","Disqualification (Elbows to Back of Head)Blake Grice",2,"0:53",NA,NA,NA,NA
"3665","156","win","Adrian Pang","One Championship - Defending HonorNov / 11 / 2016","Decision (Split)Yuji Shimada",3,"5:00",NA,NA,NA,NA
"3666","156","loss","Ariel Sexton","One Championship 44 - Dynasty of Champions 6Jul / 02 / 2016","TKO (Submission to Strikes)N/A",3,"3:53",NA,NA,NA,NA
"3667","156","loss","Koji Ando","One Championship 31 - Odyssey of ChampionsSep / 27 / 2015","Decision (Unanimous)Olivier Coste",3,"5:00",NA,NA,NA,NA
"3668","156","win","Christian Holley","One FC 19 - Reign of ChampionsAug / 29 / 2014","TKO (Knees and Punches)Yuji Shimada",1,"3:13",NA,NA,NA,NA
"3669","156","loss","Zorobabel Moreira","One FC 4 - Destiny of WarriorsJun / 23 / 2012","KO (Soccer Kick)Yuji Shimada",2,"3:53",NA,NA,NA,NA
"3670","156","loss","War Machine","UWF 1 - Huerta vs. War MachineNov / 26 / 2011","TKO (Punches)Kerry Hatley",3,"3:09",NA,NA,NA,NA
