"","rowid","Result","Fighter","Event","Method.Referee","R","Time","Date","VS..Fighter","Location","NA."
"119","5","win","Paul Felder","UFC on Fox 16 - Dillashaw vs. Barao 2Jul / 25 / 2015","Decision (Unanimous)Robert Madrigal",3,"5:00",NA,NA,NA,NA
"120","5","loss","Michael Johnson","UFC Fight Night 61 - Bigfoot vs. MirFeb / 22 / 2015","Decision (Unanimous)Leon Roberts",3,"5:00",NA,NA,NA,NA
"121","5","win","Bobby Green","UFC Fight Night 57 - Edgar vs. SwansonNov / 22 / 2014","Decision (Unanimous)Mario Yamasaki",3,"5:00",NA,NA,NA,NA
"122","5","win","Evan Dunham","UFC Fight Night 45 - Cerrone vs. MillerJul / 16 / 2014","TKO (Kick to the Body and Punches)Keith Peterson",1,"3:06",NA,NA,NA,NA
"123","5","loss","Donald Cerrone","UFC on Fox 11 - Werdum vs. BrowneApr / 19 / 2014","Submission (Rear-Naked Choke)Jorge Alsonso",1,"3:15",NA,NA,NA,NA
"124","5","win","Danny Castillo","UFC on Fox 9 - Johnson vs. Benavidez 2Dec / 14 / 2013","Decision (Majority)Mike Beltran",3,"5:00",NA,NA,NA,NA
"125","5","win","Rafaello Oliveira","UFC 162 - Silva vs. WeidmanJul / 06 / 2013","TKO (Leg Kicks)Herb Dean",2,"1:44",NA,NA,NA,NA
"126","5","win","Lucas Martins","UFC on FX 7 - Belfort vs. BispingJan / 19 / 2013","TKO (Retirement)Mario Yamasaki",1,"2:38",NA,NA,NA,NA
"127","5","loss","Jamie Varner","UFC 146 - Dos Santos vs. MirMay / 26 / 2012","TKO (Punches)Steve Mazzagatti",1,"3:23",NA,NA,NA,NA
"128","5","win","Terry Etim","UFC 142 - Aldo vs. MendesJan / 14 / 2012","KO (Spinning Wheel Kick)Dan Miragliotta",3,"2:02",NA,NA,NA,NA
"129","5","win","Ross Pearson","UFC 134 - Silva vs. OkamiAug / 27 / 2011","Decision (Split)Mario Yamasaki",3,"5:00",NA,NA,NA,NA
