"","FighterId.x","Result.x","Opponent.x","Event.x","Round.x","Time.x","Method.x","DateEvent.x","Outcome.x","PreviousOutcome.x","start.x","streak_id.x","streak.x","StreakLength.x","WinRatio.x","CountFights.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishedPrevious.x","FinishedCount.x","FinishCount.x","DamageDiff.x","Fighter.x","OpponentId.x","FighterComposite","OpponentComposite","FighterId.y","Result.y","Opponent.y","Event.y","Round.y","Time.y","Method.y","DateEvent.y","Outcome.y","PreviousOutcome.y","start.y","streak_id.y","streak.y","StreakLength.y","WinRatio.y","CountFights.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishedPrevious.y","FinishedCount.y","FinishCount.y","DamageDiff.y","Fighter.y","OpponentId.y","FighterComposite.y","IdKey"
"1014",1389,"loss","Jake Ellenberger","VFC 11 - Demolition",3,"0:22","TKO (Submission to Punches)",2005-12-03,0,1,TRUE,8,1,3,0.642857142857143,14,0.285714285714286,FALSE,0.214285714285714,FALSE,3,4,1,"Sean Huffman",587,"1389_Jake Ellenberger_2005-12-03","587_Sean Huffman_2005-12-03",587,"win","Sean Huffman","VFC 11 - Demolition",3,"0:22","TKO (Submission to Punches)",2005-12-03,1,1,FALSE,1,8,7,1,7,1,TRUE,0,FALSE,0,7,7,"Jake Ellenberger",1389,"587_Sean Huffman_2005-12-03",1976
"1015",1389,"loss","Mike Pierce","CATC 4 - Carnage at the Creek 4",2,"4:40","TKO (Punches)",2008-11-22,0,1,TRUE,14,1,1,0.535714285714286,28,0.25,FALSE,0.285714285714286,FALSE,8,7,0.777777777777778,"Sean Huffman",768,"1389_Mike Pierce_2008-11-22","768_Sean Huffman_2008-11-22",768,"win","Sean Huffman","CATC 4 - Carnage at the Creek 4",2,"4:40","TKO (Punches)",2008-11-22,1,1,FALSE,5,3,2,0.714285714285714,7,0.428571428571429,TRUE,0,FALSE,0,3,3,"Mike Pierce",1389,"768_Sean Huffman_2008-11-22",2157
"1016",1389,"win","Ted Worthington","WWFC - World War Fighting Championships 4",3,"5:00","Decision (Unanimous)",2011-10-07,1,0,TRUE,19,1,-1,0.472222222222222,36,0.25,FALSE,0.277777777777778,FALSE,10,9,0.818181818181818,"Sean Huffman",198,"1389_Ted Worthington_2011-10-07","198_Sean Huffman_2011-10-07",198,"loss","Sean Huffman","WWFC - World War Fighting Championships 4",3,"5:00","Decision (Unanimous)",2011-10-07,0,0,FALSE,29,2,-1,0.492063492063492,63,0.492063492063492,FALSE,0.253968253968254,FALSE,16,31,1.82352941176471,"Ted Worthington",1389,"198_Sean Huffman_2011-10-07",1587
"1017",1389,"loss","Robert Washington","Shamrock FC - Fight Night",1,"4:17","TKO (Punches)",2012-04-28,0,0,FALSE,20,2,-1,0.487179487179487,39,0.256410256410256,FALSE,0.282051282051282,TRUE,11,10,0.833333333333333,"Sean Huffman",1478,"1389_Robert Washington_2012-04-28","1478_Sean Huffman_2012-04-28",1478,"win","Sean Huffman","Shamrock FC - Fight Night",1,"4:17","TKO (Punches)",2012-04-28,1,0,TRUE,8,1,-1,0.647058823529412,17,0.352941176470588,FALSE,0.235294117647059,TRUE,4,6,1.2,"Robert Washington",1389,"1478_Sean Huffman_2012-04-28",2867
"1018",1389,"loss","Chris Heatherly","CC 39 - Cage Championships 39",3,"5:00","Decision (Unanimous)",2012-08-18,0,0,FALSE,20,4,-3,0.463414634146341,41,0.24390243902439,FALSE,0.317073170731707,TRUE,13,10,0.714285714285714,"Sean Huffman",968,"1389_Chris Heatherly_2012-08-18","968_Sean Huffman_2012-08-18",968,"win","Sean Huffman","CC 39 - Cage Championships 39",3,"5:00","Decision (Unanimous)",2012-08-18,1,1,FALSE,1,3,2,1,2,1,TRUE,0,FALSE,0,2,2,"Chris Heatherly",1389,"968_Sean Huffman_2012-08-18",2357
"1019",139,"win","Anthony Njokuani","UFC 128 - Shogun vs. Jones",3,"5:00","Decision (Unanimous)",2011-03-19,1,1,FALSE,1,8,7,1,7,1,TRUE,0,FALSE,0,7,7,"Edson Barboza",745,"139_Anthony Njokuani_2011-03-19","745_Edson Barboza_2011-03-19",745,"loss","Edson Barboza","UFC 128 - Shogun vs. Jones",3,"5:00","Decision (Unanimous)",2011-03-19,0,1,TRUE,10,1,1,0.722222222222222,18,0.444444444444444,TRUE,0.277777777777778,FALSE,5,8,1.33333333333333,"Anthony Njokuani",139,"745_Edson Barboza_2011-03-19",884
"1020",139,"win","Ross Pearson","UFC 134 - Silva vs. Okami",3,"5:00","Decision (Split)",2011-08-27,1,1,FALSE,1,9,8,1,8,0.875,FALSE,0,FALSE,0,7,7,"Edson Barboza",231,"139_Ross Pearson_2011-08-27","231_Edson Barboza_2011-08-27",231,"loss","Edson Barboza","UFC 134 - Silva vs. Okami",3,"5:00","Decision (Split)",2011-08-27,0,1,TRUE,7,1,1,0.75,16,0.5,FALSE,0.1875,FALSE,3,8,2,"Ross Pearson",139,"231_Edson Barboza_2011-08-27",370
"1021",139,"win","Terry Etim","UFC 142 - Aldo vs. Mendes",3,"2:02","KO (Spinning Wheel Kick)",2012-01-14,1,1,FALSE,1,10,9,1,9,0.777777777777778,FALSE,0,FALSE,0,7,7,"Edson Barboza",748,"139_Terry Etim_2012-01-14","748_Edson Barboza_2012-01-14",748,"loss","Edson Barboza","UFC 142 - Aldo vs. Mendes",3,"2:02","KO (Spinning Wheel Kick)",2012-01-14,0,1,TRUE,6,1,1,0.833333333333333,18,0.777777777777778,TRUE,0.0555555555555556,FALSE,1,14,7,"Terry Etim",139,"748_Edson Barboza_2012-01-14",887
"1022",139,"win","Danny Castillo","UFC on Fox 9 - Johnson vs. Benavidez 2",3,"5:00","Decision (Majority)",2013-12-14,1,1,FALSE,3,3,2,0.923076923076923,13,0.769230769230769,TRUE,0.0769230769230769,FALSE,1,10,5,"Edson Barboza",89,"139_Danny Castillo_2013-12-14","89_Edson Barboza_2013-12-14",89,"loss","Edson Barboza","UFC on Fox 9 - Johnson vs. Benavidez 2",3,"5:00","Decision (Majority)",2013-12-14,0,1,TRUE,10,1,2,0.761904761904762,21,0.428571428571429,FALSE,0.19047619047619,FALSE,4,9,1.8,"Danny Castillo",139,"89_Edson Barboza_2013-12-14",228
"1023",139,"win","Evan Dunham","UFC Fight Night 45 - Cerrone vs. Miller",1,"3:06","TKO (Kick to the Body and Punches)",2014-07-16,1,0,TRUE,5,1,-1,0.866666666666667,15,0.666666666666667,FALSE,0.133333333333333,TRUE,2,10,3.33333333333333,"Edson Barboza",744,"139_Evan Dunham_2014-07-16","744_Edson Barboza_2014-07-16",744,"loss","Edson Barboza","UFC Fight Night 45 - Cerrone vs. Miller",1,"3:06","TKO (Kick to the Body and Punches)",2014-07-16,0,0,FALSE,6,3,-2,0.736842105263158,19,0.473684210526316,FALSE,0.105263157894737,TRUE,2,9,3,"Evan Dunham",139,"744_Edson Barboza_2014-07-16",883
