"","Result.x","Method.x","Fighter.x","Opponent.x","CountFights.x","PreviousOutcome.x","StreakLength.x","WinRatio.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishCount.x","FinishedCount.x","DamageDiff.x","CountFights.y","PreviousOutcome.y","StreakLength.y","WinRatio.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishCount.y","FinishedCount.y","DamageDiff.y","delta_FP","delta_FIP","delta_FC","delta_FIC"
"151","win","TKO (Punches)","Simeon Thoresen","Chas Jacquier",4,1,4,1,1,TRUE,0,4,0,4,8,0,-1,0.5,0.375,FALSE,0.375,3,3,0.75,1,-1,1,-3
"152","loss","Decision (Majority)","Simeon Thoresen","Eiji Ishikawa",9,1,9,1,1,TRUE,0,9,0,9,32,1,1,0.5,0.1875,TRUE,0.21875,6,7,0.75,0,0,3,-7
"153","loss","KO (Punch)","Simeon Thoresen","Seth Baczynski",20,1,3,0.85,0.8,TRUE,0.1,16,2,5.33333333333333,22,1,5,0.727272727272727,0.681818181818182,FALSE,0.181818181818182,15,4,3,1,0,1,-2
"154","loss","Decision (Split)","Lance Benoist","Seth Baczynski",6,1,6,1,0.833333333333333,FALSE,0,5,0,5,21,1,4,0.714285714285714,0.714285714285714,TRUE,0.19047619047619,15,4,3,-1,0,-10,-4
"155","win","Decision (Unanimous)","Lance Benoist","Bobby Voelker",8,0,-2,0.75,0.625,FALSE,0,5,0,5,35,0,-3,0.685714285714286,0.542857142857143,FALSE,0.114285714285714,19,4,3.8,0,0,-14,-4
"156","loss","Submission (Rear-Naked Choke)","Clay Harvison","Seth Baczynski",11,1,3,0.818181818181818,0.727272727272727,FALSE,0.181818181818182,8,2,2.66666666666667,19,1,2,0.684210526315789,0.684210526315789,TRUE,0.210526315789474,13,4,2.6,-1,0,-5,-2
"157","loss","TKO (Punches)","Tim McKenzie","Akihiro Gono",8,0,-1,0.875,0.75,FALSE,0.125,6,1,3,38,1,1,0.552631578947368,0.289473684210526,TRUE,0.342105263157895,11,13,0.785714285714286,-1,1,-5,-12
"158","loss","TKO (Punches)","Tim McKenzie","Scott Smith",10,1,1,0.8,0.7,TRUE,0.2,7,2,2.33333333333333,9,1,3,0.888888888888889,0.888888888888889,TRUE,0.111111111111111,8,1,4,0,0,-1,1
"159","loss","Submission (Brabo Choke)","Tim McKenzie","Chael Sonnen",13,1,2,0.769230769230769,0.692307692307692,TRUE,0.230769230769231,9,3,2.25,27,1,2,0.666666666666667,0.259259259259259,FALSE,0.296296296296296,7,8,0.777777777777778,1,0,2,-5
"160","loss","KO (Punches and Elbows)","Tim McKenzie","Seth Baczynski",21,0,-1,0.619047619047619,0.571428571428571,FALSE,0.380952380952381,12,8,1.33333333333333,17,0,-1,0.647058823529412,0.647058823529412,FALSE,0.235294117647059,11,4,2.2,0,1,1,4
"161","win","TKO (Punches)","Tim McKenzie","Jordan Smith",22,0,-2,0.590909090909091,0.545454545454545,FALSE,0.409090909090909,12,9,1.2,17,1,1,0.882352941176471,0.823529411764706,TRUE,0.0588235294117647,14,1,7,-1,1,-2,8
"162","loss","Submission (Guillotine Choke)","Tom Nguyen","Seth Baczynski",6,1,1,0.833333333333333,0.333333333333333,FALSE,0,2,0,2,15,0,-1,0.666666666666667,0.666666666666667,FALSE,0.266666666666667,10,4,2,0,-1,-8,-4
"163","win","TKO (Punches)","Roger Bowling","Shamar Bailey",2,1,2,1,1,TRUE,0,2,0,2,7,1,7,1,0.714285714285714,TRUE,0,5,0,5,0,0,-3,0
"164","win","KO (Punches)","Roger Bowling","Seth Baczynski",4,1,4,1,1,TRUE,0,4,0,4,14,1,3,0.714285714285714,0.714285714285714,TRUE,0.214285714285714,10,3,2.5,0,0,-6,-3
"165","win","Technical Decision (Unanimous)","Roger Bowling","Bobby Voelker",7,1,7,1,1,TRUE,0,7,0,7,28,1,1,0.75,0.607142857142857,TRUE,0.107142857142857,17,3,4.25,0,0,-10,-3
"166","loss","TKO (Punches)","Roger Bowling","Bobby Voelker",8,1,8,1,0.875,FALSE,0,7,0,7,30,1,1,0.733333333333333,0.566666666666667,FALSE,0.1,17,3,4.25,0,0,-10,-3
"167","loss","TKO (Knee and Punches)","Roger Bowling","Bobby Voelker",10,1,1,0.9,0.7,FALSE,0.1,7,1,3.5,31,1,2,0.741935483870968,0.580645161290323,TRUE,0.0967741935483871,18,3,4.5,-1,0,-11,-2
"168","loss","Decision (Unanimous)","Roger Bowling","Tarec Saffiedine",13,1,2,0.846153846153846,0.692307692307692,TRUE,0.153846153846154,9,2,3,15,1,2,0.8,0.4,FALSE,0,6,0,6,1,0,3,2
"169","loss","KO (Punch)","Roger Bowling","Anthony Njokuani",14,0,-1,0.785714285714286,0.642857142857143,FALSE,0.142857142857143,9,2,3,23,0,-1,0.652173913043478,0.347826086956522,FALSE,0.217391304347826,8,5,1.33333333333333,0,0,1,-3
"170","win","Submission (Guillotine Choke)","James Warfield","Victor Moreno",4,0,-1,0.5,0.5,FALSE,0.5,2,2,0.666666666666667,5,1,5,1,1,TRUE,0,5,0,5,-1,1,-3,2
"171","win","TKO (Punches)","James Warfield","Jay Ellis",10,1,6,0.8,0.8,TRUE,0.2,8,2,2.66666666666667,26,1,1,0.269230769230769,0.269230769230769,TRUE,0.730769230769231,7,19,0.35,0,0,1,-17
"172","loss","KO (Flying Knee and Punches)","James Warfield","Seth Baczynski",13,1,9,0.846153846153846,0.846153846153846,TRUE,0.153846153846154,11,2,3.66666666666667,13,1,2,0.692307692307692,0.692307692307692,TRUE,0.230769230769231,9,3,2.25,0,0,2,-1
"173","loss","Decision (Unanimous)","James Warfield","Steve Carl",15,1,1,0.8,0.8,TRUE,0.2,12,3,3,8,1,2,0.875,0.75,TRUE,0.125,6,1,3,0,0,6,2
"174","win","KO (Punches)","James Warfield","Ted Worthington",17,1,1,0.764705882352941,0.764705882352941,TRUE,0.176470588235294,13,3,3.25,38,0,-1,0.605263157894737,0.605263157894737,FALSE,0.184210526315789,23,7,2.875,1,0,-10,-4
"175","loss","Submission (Triangle Choke)","James Warfield","Yves Edwards",19,1,3,0.789473684210526,0.789473684210526,TRUE,0.157894736842105,15,3,3.75,50,0,-2,0.68,0.54,FALSE,0.16,27,8,3,1,0,-12,-5
"176","win","TKO (Punches)","James Warfield","Jay Ellis",21,1,1,0.761904761904762,0.761904761904762,TRUE,0.19047619047619,16,4,3.2,43,0,-4,0.255813953488372,0.255813953488372,FALSE,0.720930232558139,11,31,0.34375,1,-1,5,-27
"177","loss","Decision (Unanimous)","James Warfield","Sherron Leggett",29,1,1,0.758620689655172,0.758620689655172,TRUE,0.137931034482759,22,4,4.4,25,1,4,0.8,0.6,TRUE,0.16,15,4,3,0,0,7,0
"178","loss","Decision (Unanimous)","James Warfield","Jaleel Willis",37,0,-2,0.621621621621622,0.594594594594595,FALSE,0.216216216216216,22,8,2.44444444444444,12,1,1,0.833333333333333,0.416666666666667,FALSE,0.0833333333333333,5,1,2.5,0,1,17,7
"179","loss","Submission (Triangle Choke)","Oscar Montano","Seth Baczynski",1,1,1,1,1,TRUE,0,1,0,1,12,1,1,0.666666666666667,0.666666666666667,TRUE,0.25,8,3,2,0,0,-7,-3
"180","loss","KO (Punch)","Antonio Grant","Seth Baczynski",7,0,-4,0.142857142857143,0.142857142857143,FALSE,0.714285714285714,1,5,0.166666666666667,11,0,-1,0.636363636363636,0.636363636363636,FALSE,0.272727272727273,7,3,1.75,0,0,-6,2
"181","win","Submission (Rear-Naked Choke)","Donnie Liles","Alonzo Martinez",3,1,3,1,1,TRUE,0,3,0,3,10,1,2,0.5,0.5,TRUE,0.5,5,5,0.833333333333333,0,0,-2,-5
"182","loss","TKO (Punches)","Donnie Liles","Chris Camozzi",13,0,-1,0.692307692307692,0.615384615384615,FALSE,0.230769230769231,8,3,2,6,1,6,1,0.833333333333333,TRUE,0,5,0,5,-1,0,3,3
"183","win","Submission (Anaconda Choke)","Donnie Liles","Seth Baczynski",15,1,1,0.666666666666667,0.6,TRUE,0.266666666666667,9,4,1.8,10,1,4,0.7,0.7,TRUE,0.2,7,2,2.33333333333333,0,0,2,2
"184","win","Submission (Rear-Naked Choke)","Donnie Liles","Pete Spratt",16,1,2,0.6875,0.625,TRUE,0.25,10,4,2,33,0,-1,0.545454545454545,0.484848484848485,FALSE,0.424242424242424,16,14,1.06666666666667,1,-1,-6,-10
"185","loss","Decision (Unanimous)","Donnie Liles","Joey Villasenor",19,1,5,0.736842105263158,0.684210526315789,TRUE,0.210526315789474,13,4,2.6,38,0,-1,0.736842105263158,0.605263157894737,FALSE,0.157894736842105,23,6,3.28571428571429,1,-1,-10,-2
"186","loss","Decision (Unanimous)","Donnie Liles","Gilbert Smith",22,1,2,0.727272727272727,0.681818181818182,TRUE,0.181818181818182,15,4,3,8,1,1,0.75,0.625,TRUE,0.125,5,1,2.5,0,0,10,3
"187","loss","Submission (Triangle Choke)","Eddie Arizmendi","Seth Baczynski",8,1,3,0.75,0.75,TRUE,0.25,6,2,2,9,1,3,0.666666666666667,0.666666666666667,TRUE,0.222222222222222,6,2,2,0,0,0,0
"188","loss","TKO (Punches)","Jordan Pergola","Marc Stevens",4,1,1,0.75,0.5,TRUE,0.25,2,1,1,6,1,4,0.833333333333333,0.5,FALSE,0,3,0,3,1,0,-1,1
"189","loss","Submission (Triangle Choke)","Jordan Pergola","Seth Baczynski",5,0,-1,0.6,0.4,FALSE,0.4,2,2,0.666666666666667,8,1,2,0.625,0.625,TRUE,0.25,5,2,1.66666666666667,-1,1,-3,0
"190","loss","TKO (Punches)","Chris Kennedy","Seth Baczynski",7,1,1,0.428571428571429,0.428571428571429,TRUE,0,3,0,3,6,0,-2,0.5,0.5,FALSE,0.333333333333333,3,2,1,1,-1,0,-2
"191","loss","Decision (Unanimous)","Chris Kennedy","Brandon Melendez",12,0,-1,0.5,0.5,FALSE,0.0833333333333333,6,1,3,35,0,-2,0.542857142857143,0.485714285714286,FALSE,0.428571428571429,17,15,1.0625,0,-1,-11,-14
"192","loss","TKO (Doctor Stoppage)","Chris Kennedy","Tony Ferguson",15,0,-1,0.466666666666667,0.466666666666667,FALSE,0.133333333333333,7,2,2.33333333333333,9,0,-1,0.777777777777778,0.666666666666667,FALSE,0.111111111111111,6,1,3,0,0,1,1
"193","loss","TKO (Knees)","Chris Kennedy","Jason South",19,0,-1,0.421052631578947,0.421052631578947,FALSE,0.210526315789474,8,4,1.6,13,1,1,0.846153846153846,0.846153846153846,TRUE,0.0769230769230769,11,1,5.5,-1,0,-3,3
"194","win","DecisionN/A)","Dan Molina","Kengo Ura",4,0,-1,0.5,0.5,FALSE,0.25,2,1,1,5,0,-2,0.4,0.2,FALSE,0.4,1,2,0.333333333333333,0,0,1,-1
"195","win","Submission (Heel Hook)","Dan Molina","Seth Baczynski",13,0,-2,0.461538461538462,0.384615384615385,FALSE,0.230769230769231,5,3,1.25,5,0,-1,0.6,0.6,FALSE,0.2,3,1,1.5,0,0,2,2
"196","win","TKO (Punches)","Dan Molina","Isidro Gonzalez",14,1,1,0.5,0.428571428571429,TRUE,0.214285714285714,6,3,1.5,19,1,5,0.578947368421053,0.578947368421053,TRUE,0.421052631578947,11,8,1.22222222222222,0,0,-5,-5
"197","win","Submission (Heel Hook)","Dan Molina","Bubba McDaniel",16,1,3,0.5625,0.5,TRUE,0.1875,8,3,2,12,1,4,0.833333333333333,0.833333333333333,TRUE,0.166666666666667,10,2,3.33333333333333,0,0,-2,1
"198","loss","Submission (Kimura)","Dan Molina","Trevor Prangley",19,1,1,0.578947368421053,0.526315789473684,TRUE,0.157894736842105,10,3,2.5,39,1,5,0.743589743589744,0.461538461538462,TRUE,0.179487179487179,18,7,2.25,0,0,-8,-4
"199","loss","Submission (Kimura)","Brent Beauparlant","Matt Horwich",7,0,-2,0.571428571428571,0.285714285714286,FALSE,0.285714285714286,2,2,0.666666666666667,28,0,-1,0.642857142857143,0.607142857142857,FALSE,0.142857142857143,17,4,3.4,0,0,-15,-2
"200","win","Decision (Unanimous)","Brent Beauparlant","Seth Baczynski",8,0,-3,0.5,0.25,FALSE,0.375,2,3,0.5,4,1,3,0.75,0.75,TRUE,0.25,3,1,1.5,-1,1,-1,2
"201","loss","KO (Punch)","Brent Beauparlant","Benji Radach",10,1,2,0.6,0.3,TRUE,0.3,3,3,0.75,23,1,4,0.826086956521739,0.695652173913043,TRUE,0.173913043478261,16,4,3.2,0,0,-13,-1
"202","loss","Submission (Armbar)","Seth Ballantine","Seth Baczynski",2,0,-1,0.5,0.5,FALSE,0.5,1,1,0.5,3,1,2,0.666666666666667,0.666666666666667,TRUE,0.333333333333333,2,1,1,-1,1,-1,0
"203","loss","Submission (Kimura)","Travous DeGroat","Seth Baczynski",1,1,1,1,1,TRUE,0,1,0,1,2,1,1,0.5,0.5,TRUE,0.5,1,1,0.5,0,0,0,-1
